corpus,group,folder,year,title,dimensions,px_w,px_h,file,url
brockmann,F4,F4/Ausstellung,1953,Kunsthaus Zürich - Braque,100 × 70 cm,558,800,1953_Kunsthaus Zürich - Braque.jpg,https://www.emuseum.ch/objects/73962/
brockmann,F4,F4/Ausstellung,1953,Helmhaus Zürich - Aus der Sammlung des Kunsthauses Zürich - Neuere Schweizer Kunst,100 × 70 cm,556,800,1953_Helmhaus Zürich - Aus der Sammlung des Kunsthauses Zürich - .jpg,https://www.emuseum.ch/objects/74018/
brockmann,F4,F4/Ausstellung,1958,Konrad Wachsmann - Bauen in unserer Zeit - Kunstgewerbemuseum Zürich - 24. Mai - 6. Juli 1,100 × 70 cm,560,800,1958_Konrad Wachsmann - Bauen in unserer Zeit - Kunstgewerbemuseu.jpg,https://www.emuseum.ch/objects/74270/
brockmann,F4,F4/Juni_Festwochen,1951,Juni-Festwochen Zürich 1951 - Leitung - Eugen Ormandy - Solist - Alexander Brailowsky,100 × 70 cm,556,800,1951_Juni-Festwochen Zürich 1951 - Leitung - Eugen Ormandy - Soli.jpg,https://www.emuseum.ch/objects/73984/
brockmann,F4,F4/Juni_Festwochen,1951,Juni-Festwochen Zürich 1951 - Tonhalle Grosser Saal - Leitung - Hans Rosbaud - Solist - Is,100 × 70 cm,547,800,1951_Juni-Festwochen Zürich 1951 - Tonhalle Grosser Saal - Leitun.jpg,https://www.emuseum.ch/objects/73985/
brockmann,F4,F4/Juni_Festwochen,1951,Juni-Festwochen Zürich 1951 - Leitung - Rafael Kubelik - Solist - Robert Casadesus - Klavi,100 × 70 cm,556,800,1951_Juni-Festwochen Zürich 1951 - Leitung - Rafael Kubelik - Sol.jpg,https://www.emuseum.ch/objects/74243/
brockmann,F4,F4/Juni_Festwochen,1952,Juni-Festwochen Zürich 1952 - Leopold Stokowksi - Tonhalle Grosser Saal - 24. Juni 1952,100 × 70 cm,560,800,1952_Juni-Festwochen Zürich 1952 - Leopold Stokowksi - Tonhalle G.jpg,https://www.emuseum.ch/objects/74026/
brockmann,F4,F4/Juni_Festwochen,1952,Juni-Festwochen Zürich 1952 - Hans Rosbaud - Alexander Brailowsky - Tonhalle Grosser Saal ,100 × 70 cm,560,800,1952_Juni-Festwochen Zürich 1952 - Hans Rosbaud - Alexander Brail.jpg,https://www.emuseum.ch/objects/74027/
brockmann,F4,F4/Juni_Festwochen,1954,Juni-Festwochen Zürich 1954 - 1. Konzert - Hans Rosbaud - Rudolf Serkin - (...),100 × 70 cm,559,800,1954_Juni-Festwochen Zürich 1954 - 1. Konzert - Hans Rosbaud - Ru.jpg,https://www.emuseum.ch/objects/74024/
brockmann,F4,F4/Sonstige,1937,Besucht die Rosenstadt Rapperswil am Zürichsee,100 × 70.5 cm,561,800,1937_Besucht die Rosenstadt Rapperswil am Zürichsee.jpg,https://www.emuseum.ch/objects/73996/
brockmann,F4,F4/Sonstige,1949,Das Schweizerische Bühnenbild - Von Appia bis heute - Veranstaltet im Rahmen der Zürcher F,100 × 70 cm,557,800,1949_Das Schweizerische Bühnenbild - Von Appia bis heute - Verans.jpg,https://www.emuseum.ch/objects/73958/
brockmann,F4,F4/Sonstige,1951,Kunsthalle Bern - Das schweizerische Bühnenbild von Appia bis heute - 19. Juni - 15. Juli ,100 × 70 cm,556,800,1951_Kunsthalle Bern - Das schweizerische Bühnenbild von Appia bi.jpg,https://www.emuseum.ch/objects/74020/
